,epsilon,rewards,discounted_rewards,forecast
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
0,16.0,-1376.4431089244886,-34.764429512347846,25
